"participle","order","country","edited"
"gesteld","red","NL",TRUE
"gevonden","green","BE",TRUE
"gevonden","red","BE",TRUE
"bevrijd","green","NL",TRUE
"ontvoerd","green","BE",TRUE
"gewild","red","NL",FALSE
"belaagd","red","BE",TRUE
"bewezen","green","BE",TRUE
"afgesloten","green","BE",TRUE
"gekend","red","NL",TRUE
"gesleept","red","NL",TRUE
"geleerd","red","BE",TRUE
"afgevoerd","green","BE",TRUE
"verzonnen","green","BE",TRUE
"gegaan","red","NL",TRUE
"gehad","red","BE",FALSE
"veroordeeld","green","BE",TRUE
"doorgevoerd","green","BE",TRUE
"geleerd","green","BE",FALSE
"geboren","red","NL",TRUE
"ervaren","red","NL",TRUE
"geopend","green","BE",TRUE
"gedaan","green","BE",TRUE
"gemaakt","red","NL",FALSE
"geworden","red","NL",FALSE
"gegroeid","green","BE",TRUE
"overwonnen","red","BE",TRUE
"vastgesteld","red","BE",TRUE
"verlaagd","red","BE",TRUE
"gehoord","green","BE",TRUE
"gesteld","red","NL",TRUE
"gevonden","green","NL",TRUE
"geweest","red","BE",TRUE
"gereden","green","BE",TRUE
"opgebouwd","green","BE",TRUE
"teleurgesteld","green","NL",TRUE
"genoemd","red","BE",TRUE
"gewild","red","NL",TRUE
"gezet","red","BE",TRUE
"gevraagd","green","BE",TRUE
"betaald","green","BE",TRUE
"gewoond","red","NL",TRUE
"verweten","red","BE",TRUE
"genoten","green","NL",FALSE
"gesprongen","red","NL",TRUE
"gekomen","green","BE",TRUE
"vergeten","green","BE",TRUE
"gedaan","red","BE",TRUE
"betaald","red","NL",TRUE
"gekwetst","green","BE",FALSE
"gevolgd","green","BE",TRUE
"gewacht","red","BE",TRUE
"vergist","red","NL",TRUE
"vermoord","red","NL",TRUE
"afgebroken","green","BE",TRUE
"bedrogen","green","NL",TRUE
"uitgeloot","green","BE",TRUE
"gedaan","red","BE",TRUE
"gehoord","red","BE",FALSE
"aangeraakt","red","BE",TRUE
"geacht","green","BE",TRUE
"gehad","red","BE",TRUE
"gekocht","green","BE",FALSE
"gehad","red","BE",TRUE
"gevolgd","red","NL",TRUE
"opgenomen","red","BE",TRUE
"erkend","green","BE",TRUE
"besneden","green","NL",TRUE
"gewend","green","BE",TRUE
"ervaren","red","BE",TRUE
"vermoord","green","NL",TRUE
"vrijgesproken","green","BE",TRUE
"overgestapt","red","BE",TRUE
"overgeschakeld","green","BE",TRUE
"gevonden","red","NL",TRUE
"opgeslagen","red","NL",TRUE
"gehoord","red","NL",TRUE
"toegekomen","red","NL",TRUE
"gedaan","red","BE",TRUE
"gegooid","red","BE",TRUE
"ontworpen","green","NL",TRUE
"bedoeld","green","BE",TRUE
"aangetroffen","red","BE",TRUE
"beslist","red","BE",TRUE
"ingeënt","red","NL",TRUE
"gebaseerd","red","NL",TRUE
"achtergelaten","red","BE",TRUE
"gestalkt","green","BE",TRUE
"verondersteld","green","BE",TRUE
"gehad","red","NL",TRUE
"geregeld","red","BE",TRUE
"tegengekomen","red","BE",TRUE
"gedaan","red","NL",TRUE
"gedaan","green","BE",TRUE
"gedaan","green","BE",TRUE
"opgenomen","red","BE",TRUE
"getrouwd","green","BE",TRUE
"ingebroken","red","NL",TRUE
"verloren","green","BE",TRUE
"ontspannen","green","BE",TRUE
"gewonnen","green","BE",TRUE
"geweest","red","BE",TRUE
"gesteld","red","BE",TRUE
"begonnen","green","BE",FALSE
"uitgevoerd","red","BE",TRUE
"gevat","red","BE",TRUE
"gewonnen","green","BE",TRUE
"geworden","red","NL",TRUE
"gebracht","green","NL",TRUE
"gedwongen","green","BE",TRUE
"gekeken","green","BE",TRUE
"getrokken","red","BE",TRUE
"uitgespeeld","red","NL",TRUE
"geleerd","green","BE",TRUE
"gehad","red","BE",TRUE
"gewonnen","green","NL",TRUE
"geweest","red","NL",TRUE
"gehad","red","BE",TRUE
"veranderd","green","BE",FALSE
"getrouwd","green","NL",TRUE
"gegrepen","red","BE",TRUE
"verdacht","red","BE",TRUE
"verloren","red","NL",TRUE
"gewacht","red","BE",TRUE
"gelopen","red","NL",TRUE
"betaald","green","BE",TRUE
"gebruikt","red","BE",TRUE
"ingegaan","red","BE",TRUE
"gemerkt","green","BE",FALSE
"gegeten","red","BE",FALSE
"geweest","red","NL",TRUE
"gebracht","green","NL",TRUE
"gedraaid","red","NL",TRUE
"gebruikt","red","NL",TRUE
"gewonnen","red","NL",TRUE
"opgenomen","green","BE",TRUE
"betaald","red","BE",TRUE
"geworden","red","NL",TRUE
"gezegd","red","NL",TRUE
"afgehandeld","red","NL",TRUE
"genomen","red","BE",TRUE
"opgebouwd","green","BE",TRUE
"samengesteld","green","BE",TRUE
"beslist","green","BE",TRUE
"gedronken","green","BE",TRUE
"aangekondigd","green","BE",TRUE
"overreden","green","BE",TRUE
"begonnen","red","NL",TRUE
"gebracht","red","BE",TRUE
"gearresteerd","green","BE",TRUE
"geraakt","red","NL",TRUE
"gedaan","green","NL",FALSE
"geworden","red","BE",TRUE
"gebeurd","green","BE",FALSE
"geboren","green","NL",TRUE
"geregeld","red","NL",FALSE
"gewonnen","red","BE",TRUE
"gedaan","red","NL",TRUE
"geweigerd","green","BE",TRUE
"aangegeven","red","BE",TRUE
"gelukt","green","NL",FALSE
"genomen","red","NL",TRUE
"genegeerd","green","BE",FALSE
